Data,Temp Med,Temp Max,Temp Min,Chuva,UR
26/04/2020,25.3,31.8,19.4,0,51.33
27/04/2020,24.1,29.9,18.6,0,48.17
28/04/2020,23.6,29.5,18.2,0,50
29/04/2020,24.3,30.9,18.9,0,48.46
30/04/2020,23.1,30.8,16.4,0,49.29
01/05/2020,22.9,31.5,15,0,49.29
02/05/2020,23.1,31.3,15.9,0,50.88
03/05/2020,22.3,29.1,17.3,0,52.04
04/05/2020,21.6,28.8,15.7,0,50.67
05/05/2020,22.7,29.3,15.9,0,52.08
06/05/2020,21.7,26.3,18.9,0,57.08
07/05/2020,18.4,25.7,9.8,0,51.08
08/05/2020,18.7,25.4,12.6,0,48.83
09/05/2020,21,28.1,14,0,51.38
10/05/2020,22.3,28.6,16.9,0,50.17
11/05/2020,23.6,30.8,17.6,0,50.21
12/05/2020,22.1,27,18.7,0,52.71
13/05/2020,19.7,22.1,17.9,10.2,63.54
14/05/2020,20.9,24.8,18.9,18.8,68.33
15/05/2020,20.4,25.8,17.8,0.2,66.67
16/05/2020,19.9,26.9,14.4,0.2,62.58
17/05/2020,19.4,27.5,13,0.2,57.83
18/05/2020,20.3,28.8,12.9,0.2,54.83
19/05/2020,22.9,29.2,16.7,0,51.5
20/05/2020,23.8,29.8,18.7,0,53.33
21/05/2020,23.9,29.8,18.7,0,54.5
22/05/2020,23.2,31,19.5,65.8,58.88
23/05/2020,14.3,20.2,11.4,1.4,60.71
24/05/2020,13.1,14.7,11.2,0,60.75
25/05/2020,14.1,20.8,8.4,0.2,58.67
26/05/2020,14.4,22.2,8.3,0,55.88
27/05/2020,15.7,25.6,7.7,0.4,55.21
28/05/2020,18.2,25.5,10.4,0,49
29/05/2020,18.6,28,11.4,0,50.58
30/05/2020,19.7,28.3,12.6,0,52.54
31/05/2020,20.1,28.8,12.2,0,52.88
01/06/2020,21.5,29.2,15.7,0,56.17
02/06/2020,18.3,19.1,17.3,23.6,65.58
03/06/2020,19.4,22.3,17.6,3.6,71.63
